system_prompt,sample_question,sample_answer
You are helpful assistant that knows a lot of differenet facts about the world,what benefit does the pinna have?,"In botany , it can refer to the segments of the leg a pinnate frond blade and is discussed in that section."
You are helpful assistant that knows a lot of differenet facts about the world,how tall Russian President Dmitry Medvedev,"Medvedev's candidacy was backed by the popular outgoing President Vladimir Putin, giving a significant boost to his popularity."
You are helpful assistant that knows a lot of differenet facts about the world,who wrote the song hallelujah,"The song has been used in film and television soundtracks, and televised talent contests."
You are helpful assistant that knows a lot of differenet facts about the world,who started the crusades,The Norman conqueror Robert Guiscard 's conquest of Byzantine territories added to the problems of the Byzantine Empire.
You are helpful assistant that knows a lot of differenet facts about the world,what does infinity mean in electricity,Electricity is the set of physical phenomena associated with the presence and flow of electric charge .
You are helpful assistant that knows a lot of differenet facts about the world,where was john f kennedy born,"John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963."
You are helpful assistant that knows a lot of differenet facts about the world,when the body is systemic,Systemic may also refer to:
You are helpful assistant that knows a lot of differenet facts about the world,where is the t-bone on the cow,Raw T-bone steak showing moderate marbling and the smaller tenderloin (or fillet ) and larger strip steak portions
You are helpful assistant that knows a lot of differenet facts about the world,Who Were the Anti Federalist,"Initially, many of the articles in opposition were written under pseudonyms, such as "" Brutus ,"" "" Centinel ,"" and "" Federal Farmer ."""
You are helpful assistant that knows a lot of differenet facts about the world,how lucie resembles dickens ideal woman,The 45-chapter novel was published in 31 weekly installments in Dickens' new literary periodical titled All the Year Round .
You are helpful assistant that knows a lot of differenet facts about the world,what was the majority rule in the case Bowers v. Hardwick,"The legitimacy of secular legislation depends, instead, on whether the State can advance some justification for its law beyond its conformity to religious doctrine."""
You are helpful assistant that knows a lot of differenet facts about the world,what are the names of the mountains and lakes in michigan,Michigan's 20 largest inland lakes.
You are helpful assistant that knows a lot of differenet facts about the world,who was morticia adams husband?,"They have since been adapted to other media, including television series (both live and animated), films, video games and a musical ."
You are helpful assistant that knows a lot of differenet facts about the world,What Is Range in Math,"The codomain is a set containing the function's output, whereas the image is only the part of the codomain where the elements are outputs of the function."
You are helpful assistant that knows a lot of differenet facts about the world,what is the poem evangeline by longfellow about?,"Monument to Acadians , St. Martinville, Louisiana"
You are helpful assistant that knows a lot of differenet facts about the world,how many great white sharks left in the ocean,"The great white shark is arguably the world's largest known extant macropredatory fish, and is one of the primary predators of marine mammals ."
You are helpful assistant that knows a lot of differenet facts about the world,how tall Russian President Dmitry Medvedev,"Born to a family of academics, Medvedev graduated from the Law Department of Leningrad State University in 1987."
You are helpful assistant that knows a lot of differenet facts about the world,how many times did Serena Williams play the French Open,The Women's Tennis Association has ranked her World No. 1 in singles on six separate occasions.
You are helpful assistant that knows a lot of differenet facts about the world,how does a triplexer work?,The ports of a diplexer are frequency selective; the ports of a combiner are not.
You are helpful assistant that knows a lot of differenet facts about the world,what percent of school shootings commit suicide?,"In the 20th and 21st centuries, suicide in the form of self-immolation has been used as a medium of protest, and kamikaze and suicide bombings have been used as a military or terrorist tactic."
You are helpful assistant that knows a lot of differenet facts about the world,What is Maurice White doing in 2010,"Maurice served as the band's main songwriter and record producer, and he was co-lead singer (along with Phillip Bailey )."
You are helpful assistant that knows a lot of differenet facts about the world,when do midlife crises happen,A midlife crisis is experienced by many people during the midlife transition when they realize that life may be more than halfway over.
You are helpful assistant that knows a lot of differenet facts about the world,how did the us finally force and defeat the indians,"St. Clair's Defeat also known as the Battle of the Wabash, the Battle of Wabash River or the Battle of a Thousand Slain, was fought on November 4, 1791 in the Northwest Territory between the United States and the Western Confederacy of American Indians , as part of the Northwest Indian War ."
You are helpful assistant that knows a lot of differenet facts about the world,where does angela davis currently work,"Angela Yvonne Davis (born January 26, 1944) is an American political activist , scholar, and author."
You are helpful assistant that knows a lot of differenet facts about the world,What Is DMT Drug,Its presence is widespread throughout the plant kingdom .
You are helpful assistant that knows a lot of differenet facts about the world,"what is ""data ingestion""",Related and somewhat synonymous terms are intelligent (data) compression and single-instance (data) storage .
You are helpful assistant that knows a lot of differenet facts about the world,WHEN WERE SOUTHERN STATES READMITTED TO US,"No foreign nation officially recognized the Confederacy as an independent country, but several did grant belligerent status."
You are helpful assistant that knows a lot of differenet facts about the world,who won the 1967 nba championship,"The 76ers won the series over the Warriors, 4-2."
You are helpful assistant that knows a lot of differenet facts about the world,how many wiccans in us,Wicca is a diverse religion with no central authority or figure defining it.
You are helpful assistant that knows a lot of differenet facts about the world,what state is ms the abbreviation for,The following is a of various codes and abbreviations used to represent the political divisions of the United States .
You are helpful assistant that knows a lot of differenet facts about the world,what was the majority rule in the case Bowers v. Hardwick,"A concurring opinion by Chief Justice Warren E. Burger cited the ""ancient roots"" of prohibitions against homosexual sex, quoting William Blackstone 's description of homosexual sex as an ""infamous crime against nature"", worse than rape, and ""a crime not fit to be named."""
You are helpful assistant that knows a lot of differenet facts about the world,"what is the concept of ""wellness"" ?",Whether these techniques actually improve physical health is controversial and a subject of much debate.
You are helpful assistant that knows a lot of differenet facts about the world,what did deputies in the old western times do?,"They explain, ""It is a tale of conquest, but also one of survival, persistence, and the merging of peoples and cultures that gave birth and continuing life to America."""
You are helpful assistant that knows a lot of differenet facts about the world,how did harmon killebrew get strong,"In 1965, he played in the World Series with the Minnesota Twins, who lost to the Los Angeles Dodgers ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the possibility that meteor would hit the moon in the next hundred years,"Notable impact events include the Cretaceous–Paleogene extinction event , which occurred 65 million years ago and led to the demise of the dinosaurs ."
You are helpful assistant that knows a lot of differenet facts about the world,what happened to george o'malley on grey's anatomy?,"The actor stated the reason for his departure was due to a ""breakdown in communication"" with Rhimes, his character's lack of screen time, as well as his decision to be openly gay ."
You are helpful assistant that knows a lot of differenet facts about the world,what year was smokey the bear invented,"The fictional character Smokey Bear, created by the art critic Harold Rosenberg , is administered by three entities: the United States Forest Service , the National Association of State Foresters , and the Ad Council ."
You are helpful assistant that knows a lot of differenet facts about the world,What Party now holds Governorships in U>S.?,"Due to the results of the 2010 elections, Republicans took control of an additional 19 state legislative chambers, giving them majority control of both chambers in 25 states versus the Democrats' majority control of both chambers in only 16 states, with 8 states having split or inconclusive control of both chambers (not including Nebraska); previous to the 2010 elections, it was Democrats who controlled both chambers in 27 states versus the Republican party having total control in only 14 states, with eight states divided and Nebraska being nonpartisan.<ref name=""http://www.ncsl.org/default.aspx?TabID=746&tabs=1116,114,796#1116"">"
You are helpful assistant that knows a lot of differenet facts about the world,how many pins does a molex power connector have?,The pins and sockets are held in a rectangular matrix in a nylon shell.
You are helpful assistant that knows a lot of differenet facts about the world,when did ms .drgs go into effect,DRGs may be further grouped into Major Diagnostic Categories (MDCs).
You are helpful assistant that knows a lot of differenet facts about the world,who was on miami heats championship team,It was also the first Finals not to have either the Los Angeles Lakers or San Antonio Spurs since .
You are helpful assistant that knows a lot of differenet facts about the world,who make airbus,"Airbus has subsidiaries in the United States, Japan, China and India."
You are helpful assistant that knows a lot of differenet facts about the world,how many chinese fought in korean war,The situation escalated into open warfare when North Korean forces invaded South Korea on 25 June 1950.
You are helpful assistant that knows a lot of differenet facts about the world,what is the main language in india,"However, languages listed in the Eighth Schedule of the Indian constitution are sometimes referred to, without legal standing, as the national languages of India."
You are helpful assistant that knows a lot of differenet facts about the world,what is going to be done with the orbiters?,"The Space Shuttle was a crewed, partially reusable low Earth orbital spacecraft operated by the U.S. National Aeronautics and Space Administration (NASA)."
You are helpful assistant that knows a lot of differenet facts about the world,what stops superman?,"Umberto Eco discussed the mythic qualities of the character in the early 1960s, and Larry Niven has pondered the implications of an intimate relationship involving the character."
You are helpful assistant that knows a lot of differenet facts about the world,what day is st. patricks day,"Celebrations generally involve public parades and festivals, céilithe , and the wearing of green attire or shamrocks ."
You are helpful assistant that knows a lot of differenet facts about the world,what is in fruitcake,Cherry cake
You are helpful assistant that knows a lot of differenet facts about the world,what was the first animal in space,"Space monkey "" Baker "" rode a Jupiter IRBM into space in 1959."
You are helpful assistant that knows a lot of differenet facts about the world,what was minimum wage in 2011,"Minimum wage by U.S. state and U.S. territory ( American Samoa , Guam , Puerto Rico , Virgin Islands ), as of Jan. 1, 2013."
You are helpful assistant that knows a lot of differenet facts about the world,when was Mary Anderson born,"Mary Anderson (1866–1953) was a real estate developer, rancher, viticulturist and inventor of the windshield wiper blade."
You are helpful assistant that knows a lot of differenet facts about the world,who invented the wheelbarrow,Use of wheelbarrows is common in the construction industry and in gardening .
You are helpful assistant that knows a lot of differenet facts about the world,how do i transfer my stock from transfer agent,"A stock transfer agent or share registry is a company, usually a third party unrelated to stock transactions, which cancels the name and certificate of the shareholder who sold the shares of stock , and substitutes the new owner's name on the official master shareholder listing."
You are helpful assistant that knows a lot of differenet facts about the world,how many mvps has kobe bryant won,"At the 2008 and 2012 Summer Olympics , he won gold medals as a member of the USA national team ."
You are helpful assistant that knows a lot of differenet facts about the world,what golf courses are included with tiger woods pga tour 11,"It was released in North America on June 8, 2010 and July 2, 2010 in Europe for the PlayStation 3 , Wii , Xbox 360 and iOS ."
You are helpful assistant that knows a lot of differenet facts about the world,what years was the 18th century,The industrial revolution started in Britain around 1770s with the production of the improved steam engine .
You are helpful assistant that knows a lot of differenet facts about the world,how many grams in a troy ounce of gold,Troy ounce is a traditional unit of gold weight.
You are helpful assistant that knows a lot of differenet facts about the world,what city in california has the highest  per capita income,"California was the 11th wealthiest in the United States of America , with a per capita income of $22,711 (2000)."
You are helpful assistant that knows a lot of differenet facts about the world,who balances the budget,"More generally, it refers to a budget with no deficit, but possibly with a surplus."
You are helpful assistant that knows a lot of differenet facts about the world,what color is hazel,Eye color is a polygenic phenotypic character determined by two distinct factors: the pigmentation of the eye 's iris and the frequency-dependence of the scattering of light by the turbid medium in the stroma of the iris .
You are helpful assistant that knows a lot of differenet facts about the world,what experiments are being performed on the iss,MISSE's logo
You are helpful assistant that knows a lot of differenet facts about the world,how was the toreador fresco completed,"It appears as a maze of workrooms, living spaces, and storerooms close to a central square."
You are helpful assistant that knows a lot of differenet facts about the world,how many wiccans in us,"It is divided into various lineages and denominations , referred to as ""traditions"", each with its own organisational structure and level of centralisation ."
You are helpful assistant that knows a lot of differenet facts about the world,what was mao cultural revolution,"In 1927 the KMT's military leader Chiang Kai-shek broke the alliance and set about on an anti-communist purge; in turn, the CPC formed an army of peasant militia, and the two sides clashed in the Chinese Civil War ."
You are helpful assistant that knows a lot of differenet facts about the world,what is a newsgroup message,"The term may be confusing to some, because it is in fact a discussion group ."
You are helpful assistant that knows a lot of differenet facts about the world,how was the president involved in the gulf war,"The Gulf War (2 August 1990 – 28 February 1991), codenamed Operation Desert Storm (17 January 1991 – 28 February 1991) was a war waged by a U.N.-authorized Coalition force from 34 nations led by the United States , against Iraq in response to Iraq's invasion and annexation of Kuwait ."
You are helpful assistant that knows a lot of differenet facts about the world,what episode on weeds do they find peter's body,"Season four premiered to 1.3 million live viewers to become what was at the time ""Showtime's most-watched single original telecast in at least four years."""
You are helpful assistant that knows a lot of differenet facts about the world,what is the oath of allegiance of the united states,"Soldiers, Sailors, and Marines state the Oath of Allegiance at a Citizenship ceremony at Camp Liberty , Iraq in 2009"
You are helpful assistant that knows a lot of differenet facts about the world,how big is a land section generally,"In 1832 the smallest area of land that could be acquired was reduced to the 40 acre quarter-quarter section, and this size parcel became entrenched in American mythology."
You are helpful assistant that knows a lot of differenet facts about the world,who was the evil god of the etruscans,Etruscans frequently added their own themes to Greek myths.
You are helpful assistant that knows a lot of differenet facts about the world,who is st patty?,"Christians also attend church services , and the Lenten restrictions on eating and drinking alcohol are lifted for the day, which has encouraged and propagated the holiday's tradition of alcohol consumption."
You are helpful assistant that knows a lot of differenet facts about the world,what is north korea size,"Many hospitals lack basic medicine, equipment, running water, and electricity due to economic problems and minimal budget allocation; at approximately 1 dollar per person per year, lower than that of most African countries."
You are helpful assistant that knows a lot of differenet facts about the world,what is eminem's record label,"He released his first album in five years titled Relapse , on May 15, 2009."
You are helpful assistant that knows a lot of differenet facts about the world,what graduate schools that do not need standardized test,"A distinction is typically made between graduate schools (where courses of study do not provide training for a particular profession) and professional schools , which offer specialized advanced degrees in professional fields such as medicine , business , engineering , ministry or law ."
You are helpful assistant that knows a lot of differenet facts about the world,how many books are included in the protestant Bible?,"The first part of Christian Bibles is the Old Testament , which contains, at minimum, the twenty-four books of the Hebrew Bible divided into thirty-nine books and ordered differently from the Hebrew Bible."
You are helpful assistant that knows a lot of differenet facts about the world,what is an open mare?,A horse's female parent is known as its dam.
